28	default cheap mobile provider	cheapest mobile operator	buy sim	west europe	nord europe	europe	country	east	card	
5029	covers expensive photographic equipment	cover expensive camera	worldwide annual multi	popular search engines	comparison web sites	priced travel insurance	travel insurance	cheapest insurance	uk residents	special option	
5046	find historical airfares	airplane ticket	find	buy	point	travel	past	airport	cost	itinerary	
5050	practical perspective	backpacking	egypt	dangerous	make	reasonable	demonstrations	backpacker	wondering	trip	
5048	united airlines flight	bluetooth headphones allowed	united airlines	audio book	ve looked	web page	working pair	prohibited items	bluetooth devices	united flights	
5064	shortest commercial passenger flight	passenger flight	flight number	occasional debate	heathrow due	london airport	oxford airport	shortest	flight	gatwick	
5065	flight time / distance	regular flight number	longest passenger flight	flight number	hong kong	longest	3 hours	nz1	terms	sydney	
5117	ve eaten kangaroo steak	traditional australian dishes	australian dishes	kangaroo meat	origin	easy	cambodia	aboriginal	made	exist	
5119	ve read mixed reviews	love bubble tea	tap water supply	drink bubble tea	hong kong	ve	drink	pre	places	packaged	
5134	lot indian cities	european union country	connected athens	longer operated	air arabia	good option	regularly connect	years ago	flight	showed	
5169	south coast plaza	cake decorating equipment	westfield culver city	expensive designer brands	glendale galleria	nearby hotel	bonus points	single day	consumer electronics	fairly close	
5174	exchange money	wroclaw airport	wroclaw	money	exchange	airport	ryanair	april	arriving	city	
5174	exchange money	wroclaw airport	wroclaw	money	exchange	airport	ryanair	april	arriving	city	
5173	french student visas	france long term	renew visas	student visa	tourist visas	american citizen	back immediately	tourist visa	american citizens	90 days permitted	
5173	french student visas	france long term	renew visas	student visa	tourist visas	american citizen	back immediately	tourist visa	american citizens	90 days permitted	
5179	atms accept common foreign cards	accept foreign cards	electronic bank machines	bad exchange rates	foreign cards	nice list	specific country	atms	country	google	
5204	product disclosure statement	cover underwater ironing	travel insurance company	travel insurance	illegal activities	piste skiing	directly prohibited	indirectly prohibited	unusual activities	unusual activity	
5207	long waiting times	waiting times	street view	zealand passport	departure date	bit longer	credit card	run close	queue visible	indian visa	
5204	product disclosure statement	cover underwater ironing	travel insurance company	travel insurance	illegal activities	piste skiing	directly prohibited	indirectly prohibited	unusual activities	unusual activity	
5262	european countries	century club	similar club	countries	club	similar	europe	couldn	visit 100	yesterday	
5272	keeping clothes uncreased	clothes unwrinkled	cell things	solid techniques	previous times	work pretty	casual clothes	good start	ve heard	suit separately	
5274	dad type shops	recommended quiet neighbourhoods	suburbs recommended	experience life	week	full	remote	area	country	homely	
5282	south east asia	buy malaria medication	malaria pills	real thing	good bunch	stayed longer	south india	mefloquine pills	medication	pills	
5284	long distance trains	long rides	bus station	booking periods	indian trains	pretty crowded	advance booking	booking	advance	crowded	
5284	long distance trains	long rides	bus station	booking periods	indian trains	pretty crowded	advance booking	booking	advance	crowded	
5284	long distance trains	long rides	bus station	booking periods	indian trains	pretty crowded	advance booking	booking	advance	crowded	
5289	bed &amp	colonial history	online resources	accommodation options	independently travel	travel	options	breakfasts	chambre	traveling	
5305	visit individual castles	visit loire valley	loire valley	guided tours	valley	castles	tours	week	tgv	travel	
239	pretty notorious reputation	visit los angeles	public transportation good	public transportation	visit hollywood	la area	bad traffic	visit	renting	easily	
5334	avoid mosquito bites	usual precautions	informed decision	low risk	reliable information	malaria meds	rajasthan appears	avoid	malaria	rajasthan	
5334	avoid mosquito bites	usual precautions	informed decision	low risk	reliable information	malaria meds	rajasthan appears	avoid	malaria	rajasthan	
5374	decorate	tourist	elephant	
5414	passenger room	air pressure	feel pressure	feel	pressure	constant	airplanes	fast	ascending	plane	
5436	typical aggregated booking sites don	fly today	today	search	mine	searching	options	friend	
5193	pitch method	pop ears	ears pop	methods	make	landing	plane	nose	hold	painful	
5457	credit card suffice	rental business hold	larger deposit	avoid letting	question suggests	website state	hotel clerk	rental company	traffic policeman	rental	
5473	ve heard freighters	huge amount	great deal	surface travel	overseas cheaply	detailed directions	private yacht	adventure travellers	travel friends	return flight	
5497	buy cheap airline tickets	strategies include buying	buy ryanair tickets	fly home	mastercard prepaid	starting price	lowest prices	exchange/booking charges	avoid currency	credit cards	
5556	online booking sites don	modifying online flights	search online flights	book separate flights	include stopover functionality	flights online	include stopovers	christmas island	length stopover	weird multi	
5588	ancient samsonite plastic hardcase	ve preferred squishy canvas	original rimowa salsa/topas	extra space rock	cold weather destination	target price range	ve found	gonna cut	generally strike	lock broke	
5618	trip round europe	lower percentage commission	withdrawing cash abroad	bulk currency exchange	travel credit card	changing currency abroad	exchange rate	credit cards	travelling abroad	good advice	
5650	hear american airlines announcing	potential excess baggage hassle	edit march 4th	weight limits	2/3rds full	haul flights	international flights	mel flight	air nz	weighing carry	
5709	find cheap international airfares	high school spanish teacher	find cheap international airfare	sold discount airfare	latin america	reliable ways	similar sites	inexpensive tickets	departure city	serve chicago	
5748	air india flight	air india	international flight	conveyor belts	kingfisher airlines	kingfisher	general	carry	fine	trip	
5748	air india flight	air india	international flight	conveyor belts	kingfisher airlines	kingfisher	general	carry	fine	trip	
5755	santiago de chile	find cheapest flights	journey time	buenos aires	time limited	zealand promotions	south america	freight ship	air tickets	ferry service	
5783	drinking local water	finding drinkable water	drinkable water	bottled water	filtration/purifying device	practical solution	water	find	locations	dehydration	
5800	standard european license	international driving license	driving license	major obstacle	renting	australia	car	days	live	good	
5801	public toilet room	big deal	innocent tourist	toilet paper	native language	foreign country	paper	foreign	point	culture	
5801	public toilet room	big deal	innocent tourist	toilet paper	native language	foreign country	paper	foreign	point	culture	
5801	public toilet room	big deal	innocent tourist	toilet paper	native language	foreign country	paper	foreign	point	culture	
5801	public toilet room	big deal	innocent tourist	toilet paper	native language	foreign country	paper	foreign	point	culture	
5828	return airline ticket	cheapest trip	dollar counts	cheaper ticket	cheapest form	$22 bus ticket	visa purposes	bus ticket	ticket	comment	
5828	return airline ticket	cheapest trip	dollar counts	cheaper ticket	cheapest form	$22 bus ticket	visa purposes	bus ticket	ticket	comment	
5853	savings time oddities	affect flight time	time zone	shorter flight	initially thought	arrive late	depends largely	model plane	arrive early	good candidate	
5863	june 26th	visit cairo	cairo	possibly	travel	safe	july 2012	elections	referendum	heard	
5841	st petersburg waiting	spend 10 days	finland wrecked	kazakh visa	sort hostels	3+ months	ll work	money saved	mildly ashamed	inherent flaws	
4253	immigrations rules make	southeast asia overland	wikimedia commons	cruise ship	boat transport	regular ferry	actual information	private yacht	christmas island	island	
5875	carry camping equipment	long walking trails	waymarked walking trails	walking trails exist	walking trails	marked trails	accommodation enroute	hotels/guest houses/	walking	trails	
5902	3g data package	data package	selected cities	question originally	3g	question	europe	venice	paris	travel	
1475	visit manchester	manchester	europe	preferably	cost	travel	long	planning	london	year	
